GEOID,COUNTY,STATE,DISASTER_COUNT_2011_2024,STATE_DISASTER_COUNT,FEMA_PA_HM,FEMA_PER_CAPITA,POPULATION,CDC_SVI_2022,OMB_CLASS,SAIDI_MIN_AVG,SAIDI_MIN_MAX,PCT_POP_60PLUS,AGE_CLASS,PCT_MINORITY,HEAT_NRI,COMPOUND_RISK_COUNT_NATL,NRI_POP_2020,NRI_AREA_SQMI,NRI_BUILDING_VALUE,NRI_AGRICULTURE_VALUE,NRI_SCORE_COMPOSITE,NRI_RATING_COMPOSITE,NRI_EAL_TOTAL_COMPOSITE,NRI_SOVI_SCORE,NRI_SOVI_RATING,NRI_RESILIENCE_SCORE,NRI_RESILIENCE_RATING,FLOOD_RISK_SCORE,FLOOD_RISK_RATING,FLOOD_EAL_TOTAL,FLOOD_EAL_SCORE,FLOOD_EAL_RATING,FLOOD_EAL_NATL_PCTILE,FLOOD_EVENTS,FLOOD_ANNUAL_FREQ,FLOOD_IMPACTED_AREA_SQMI,FLOOD_EXPOSURE_TOTAL,FLOOD_HIST_LOSS_RATING,SFHA_AREA_SQMI,PCT_COUNTY_IN_SFHA,BUYOUTS_TOTAL,BUYOUTS_FEMA,BUYOUTS_USACE,BUYOUTS_NRCS,BUYOUTS_HUD,BUYOUTS_COMMUNITY,BUYOUT_YEAR_MIN,BUYOUT_YEAR_MAX,REPETITIVE_LOSS_AREAS,REPETITIVE_LOSS_STREAMS,PRIMARY_WATERSHED,PRIMARY_HUC8,BASIN,SPANS_BOTH_BASINS,ALL_WATERSHEDS
54001,Barbour,West Virginia,3,23,429403,28,15527,0.46,Rural,744.0,744,28.7,Aging County,7.9,5.4,0,15458,346.31,3651471821,7768382,24.01,Very Low,7710050,46.47,Relatively Moderate,43.54,Relatively Moderate,51.75,Relatively Low,6559412,54.08,Relatively Low,95.95,40,1.429,11.88,14967610864,Relatively High,9.55,2.78,46,39,0,0,0,6,1985,2012,0,,Tygart Valley,05020001,Ohio River,N,Tygart Valley; West Fork
54003,Berkeley,West Virginia,1,23,198703,2,123283,0.27,Urban,200.7,214,21.7,Below Average,17.8,54.5,0,122020,324.8,25209567108,33358180,68.26,Relatively Low,35234123,12.18,Very Low,43.23,Relatively Moderate,79.83,Relatively Moderate,25150694,85.37,Relatively Moderate,69.86,70,2.5,43.88,46011020507,Relatively High,14.12,4.39,0,0,0,0,0,0,,,6,Back Creek; Dry Run; Potomac River,Conococheague-Opequon,02070004,Chesapeake Bay,N,Conococheague-Opequon
54005,Boone,West Virginia,8,23,401379,18,21705,0.4,Rural,689.5,950,30.5,Aged County,2.7,64.7,1,21756,508.28,3997007009,185566,69.37,Relatively Low,18806500,85.75,Very High,13.3,Very Low,85.02,Relatively Moderate,17321712,78.47,Relatively Moderate,99.07,47,1.679,9.45,86647929391,Relatively Low,9.75,1.94,2,2,0,0,0,0,2002,2002,0,,Coal,05050009,Ohio River,N,Coal; Lower Guyandotte
54007,Braxton,West Virginia,6,23,166795,13,12505,0.6,Rural,744.0,744,32.9,Aged County,10.8,33.0,1,12438,521.49,3095711131,5846729,36.16,Very Low,8778554,71.34,Relatively High,24.94,Relatively Low,63.58,Relatively Low,7774231,59.1,Relatively Low,98.95,49,1.75,11.68,15064976168,Relatively High,15.08,2.92,1,1,0,0,0,0,,,0,,Little Kanawha,05030203,Ohio River,N,Little Kanawha; Elk
54009,Brooke,West Virginia,4,23,2051978,92,22349,0.38,Rural,607.7,950,34.9,Aged County,6.0,18.6,0,22549,93.5,5321627272,1618469,54.23,Relatively Low,12565487,85.69,Very High,57.09,Relatively Moderate,75.67,Relatively Moderate,11598165,69.06,Relatively Low,98.02,35,1.25,8.26,30166565795,Relatively Moderate,5.54,5.98,15,15,0,0,0,0,2013,2013,0,,Upper Ohio-Wheeling,05030106,Ohio River,N,Upper Ohio-Wheeling; Upper Ohio
54011,Cabell,West Virginia,9,23,11891819,127,93965,0.73,Urban,568.3,950,25.9,Aging County,10.6,75.4,1,94158,290.92,22502010215,3458170,85.37,Relatively Moderate,49314384,59.16,Relatively Moderate,73.85,Relatively High,91.92,Relatively Moderate,41077031,90.35,Relatively Moderate,93.19,78,2.786,31.17,102829348995,Relatively Moderate,19.33,6.71,10,10,0,0,0,0,2005,2007,0,,Lower Guyandotte,05070102,Ohio River,N,Lower Guyandotte; Raccoon-Symmes; Twelvepole
54013,Calhoun,West Virginia,4,23,41308,7,6279,0.47,Rural,744.0,744,35.1,Super-Aged,4.1,40.1,1,6220,283.51,2034612664,3068497,16.83,Very Low,4929153,73.73,Relatively High,37.05,Relatively Low,45.55,Relatively Low,4413556,41.8,Relatively Low,89.29,41,1.464,8.47,10585449195,Relatively Moderate,8.7,3.1,1,1,0,0,0,0,,,0,,Little Kanawha,05030203,Ohio River,N,Little Kanawha
54015,Clay,West Virginia,5,23,29286137,3638,8049,0.54,Rural,707.7,950,31.3,Aged County,3.0,32.1,0,8050,347.29,1486869308,738422,22.3,Very Low,4685638,95.9,Very High,18.99,Very Low,53.47,Relatively Low,4360694,41.21,Relatively Low,99.23,43,1.536,6.32,17510393101,Relatively Low,7.31,2.13,0,0,0,0,0,0,,,0,,Elk,05050007,Ohio River,N,Elk; Gauley; Little Kanawha
54017,Doddridge,West Virginia,7,23,67427,9,7847,0.26,Rural,760.5,777,27.6,Aging County,6.5,26.3,1,7802,323.71,2217566900,2610595,14.44,Very Low,6125170,33.27,Relatively Low,49.33,Relatively Moderate,43.58,Relatively Low,5679120,49.41,Relatively Low,98.92,44,1.571,8.14,17058573720,Relatively Moderate,6.67,2.08,0,0,0,0,0,0,,,0,,Little Musringum-Middle Island,05030201,Ohio River,N,Little Musringum-Middle Island; Little Kanawha
54019,Fayette,West Virginia,6,23,5833904,144,40545,0.7,Rural,707.7,950,29.8,Aging County,8.0,2.9,0,40383,675.1,6537343584,2209028,53.44,Relatively Low,14404583,64.12,Relatively High,27.23,Relatively Low,72.93,Relatively Low,12084524,70.2,Relatively Low,91.46,42,1.5,18.31,29699946676,Relatively Moderate,10.73,1.6,297,54,0,173,0,70,1997,2024,4,Dunloup Creek,Lower New,05050004,Ohio River,N,Lower New; Upper Kanawha; Gauley
